employment_matrix,education_needed
  Sheet metal workers,High school diploma or equivalent
  Structural iron and steel workers,High school diploma or equivalent
  Solar photovoltaic installers,High school diploma or equivalent
"  Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",No formal educational credential
  Helpers--carpenters,No formal educational credential
  Helpers--electricians,High school diploma or equivalent
"  Helpers--painters, paperhangers, plasterers, and stucco masons",No formal educational credential
"  Helpers--pipelayers, plumbers, pipefitters, and steamfitters",High school diploma or equivalent
  Helpers--roofers,No formal educational credential
"  Helpers, construction trades, all other[2]",No formal educational credential
  Construction and building inspectors,High school diploma or equivalent
  Elevator and escalator installers and repairers,High school diploma or equivalent
  Fence erectors,No formal educational credential
  Hazardous materials removal workers,High school diploma or equivalent
  Highway maintenance workers,High school diploma or equivalent
  Rail-track laying and maintenance equipment operators,High school diploma or equivalent
  Septic tank servicers and sewer pipe cleaners,High school diploma or equivalent
  Miscellaneous construction and related workers[2],High school diploma or equivalent
"  Derrick operators, oil and gas",No formal educational credential
"  Rotary drill operators, oil and gas",No formal educational credential
"  Service unit operators, oil and gas",No formal educational credential
"  Excavating and loading machine and dragline operators, surface mining",High school diploma or equivalent
